Subfamily	Genus	Species	NCBI_ID
Poales	Triticum	aestivum	MG958556
Poales	Triticum	durum	MK253668
Poales	Oryza	sativa	KM088017
Poales	Pennisetum	glaucum	MN180104
Poales	Sorghum	bicolor	NC_008602
Poales	Secale	cereale	KC912691
Poales	Avena	sativa	MG687313
Chloridoideae	Zoysia	japonica	NC_036827
Chloridoideae	Urochondra	setulosa	NC_042238
Chloridoideae	Triodia	basedowii	NC_042860
Chloridoideae	Eleusine	indica	NC_030486
Chloridoideae	Eragrostis	minor	NC_029412
Chloridoideae	Uniola	paniculata	NC_036709
Chloridoideae	Neyraudia	reynaudiana	NC_024262
Chloridoideae	Triraphis	mollis	NC_042835
Chloridoideae	Centropodia	glauca	NC_029411
Danthonioideae	Merxmuellera	drakensbergensis	EU400798
Danthonioideae	Chionochloa	macra	NC_025230
Danthonioideae	Pentaschistis	aurea	EU400811
Danthonioideae	Cortaderia	selloana	NC_036681
Danthonioideae	Danthonia	californica	NC_025232
Danthonioideae	Joycea	pallida	NC_037166
Danthonioideae	Schismus	arabicus	NC_036703
Micrairoideae	Isachne	albens	NC_035530
Micrairoideae	Limnopoa	meeboldii	NC_035531
Micrairoideae	Pheidochloa	gracilis	NC_035534
Micrairoideae	Eriachne	aristidea	NC_041558
Micrairoideae	Micraira	subulifolia	AY622316
Arundinoideae	Amphipogon	caricinus	NC_035520
Arundinoideae	Monachather	paradoxus	NC_025237
Arundinoideae	Crinipes	abyssinicus	NC_035523
Arundinoideae	Molinia	caerulea	NC_033980
Panicoideae	Garnotia	tenella	NC_035051
Panicoideae	Andropogon	ascinodis	NC_040129
Panicoideae	Axonopus	fissifolius	NC_030501
Panicoideae	Lecomtella	madagascariensis	NC_024106
Panicoideae	Alloteropsis	cimicina	NC_027952
Panicoideae	Gynerium	sagittatum	NC_036687
Panicoideae	Thysanolaena	latifolia	NC_025238
Panicoideae	Cyperochloa	hirsuta	AY847139
Panicoideae	Centotheca	lappacea	NC_025229
Panicoideae	Danthoniopsis	dinteri	NC_030502
Panicoideae	Steyermarkochloa	angustifolia	JN604709
Panicoideae	Lophatherum	gracile	NC_050857
Panicoideae	Chasmanthium	laxum	NC_035522
Aristideae	Aristida	behriana	NC_046729
Aristideae	Sartidia	perrieri	NC_027146
Aristideae	Stipagrostis	hirtigluma	NC_036112
Aristideae	Aristida	pruinosa	NC_042836
Aristideae	Sartidia	dewinteri	NC_027147
Aristideae	Stipagrostis	plumosa	AM849210
Aristideae	Aristida	congesta	NC_046731
Aristideae	Aristida	purpurea	NC_025228
Oryzoideae	Streptogyna	americana	NC_036683
Oryzoideae	Ehrharta	bulbosa	NC_036715
Oryzoideae	Microlaena	stipoides	GU592211
Oryzoideae	Humbertochloa	bambusiuscula	NC_036691
Oryzoideae	Phyllorachis	sagittata	NC_036698
Oryzoideae	Zizania	latifolia	NC_029401
Oryzoideae	Potamophila	parviflora	GU592210
Oryzoideae	Leersia	japonica	NC_034766
Oryzoideae	Oryza	brachyantha	NC_030596
Bambusoideae	Phyllostachys	edulis	NC_015817
Bambusoideae	Thamnocalamus	tesselatus	NC_036816
Bambusoideae	Ampelocalamus	actinotrichus	NC_036815
Bambusoideae	Gigantochloa	albociliata	NC_050765
Bambusoideae	Rhipidocladum	pittieri	NC_036700
Bambusoideae	Buergersiochloa	bambusoides	AF182341
Bambusoideae	Olyra	latifolia	U21971
Bambusoideae	Pariana	campestris	NC_027491
Pooideae	Brachyelytrum	erectum	U22005
Pooideae	Lygeum	spartum	NC_036693
Pooideae	Phaenosperma	globosum	NC_027480
Pooideae	Melica	scabrosa	NC_050212
Pooideae	Stipa	borysthenica	NC_037025
Pooideae	Diarrhena	obovata	NC_027474
Pooideae	Brachypodium	distachyon	NC_011032
Pooideae	Bromus	vulgaris	NC_027472
Pooideae	Torreyochloa	pallida	NC_027486
Pooideae	Phalaris	arundinacea	NC_027481
Pooideae	Briza	minor	DQ786820
Pooideae	Zingeria	biebersteiniana	NC_037170
Pooideae	Poa	alsodes	NC_050407
Pooideae	Sesleria	caerulea	DQ786870
Pooideae	Puelia	olyriformis	NC_023449
Pooideae	Leptaspis	banksii	NC_033863
Pooideae	Pharus	latifolius	NC_021372
Pooideae	Anomochloa	marantoidea	NC_014062
Pooideae	Streptochaeta	spicata	NC_033862
Poales	Joinvillea	plicata	EF422919
Poales	Ecdeiocolea	monostachya	AY438617
Poales	Georgeantha	hexandra	EU832889
Poales	Joinvillea	ascendens	NC_031427
Poales	Flagellaria	indica	HQ181113
